municipio,regiao,mes,mes_nome,ano,focos_calor,precipitacao_mm,temp_max_media_c
Alto Paraiso de Goias,Norte/Nordeste,6,junho,2024,11,5.9,29.7
Alto Paraiso de Goias,Norte/Nordeste,7,julho,2024,25,3.8,31.0
Alto Paraiso de Goias,Norte/Nordeste,8,agosto,2024,48,9.7,32.5
Alto Paraiso de Goias,Norte/Nordeste,9,setembro,2024,65,57.2,33.9
Alto Paraiso de Goias,Norte/Nordeste,10,outubro,2024,25,158.7,32.5
Campos Belos,Norte/Nordeste,6,junho,2024,8,3.4,29.1
Campos Belos,Norte/Nordeste,7,julho,2024,22,0.0,31.0
Campos Belos,Norte/Nordeste,8,agosto,2024,48,8.3,31.3
Campos Belos,Norte/Nordeste,9,setembro,2024,70,38.0,34.8
Campos Belos,Norte/Nordeste,10,outubro,2024,22,213.9,31.7
Cavalcante,Norte/Nordeste,6,junho,2024,25,3.0,30.4
Cavalcante,Norte/Nordeste,7,julho,2024,66,0.0,28.9
Cavalcante,Norte/Nordeste,8,agosto,2024,136,10.0,33.0
Cavalcante,Norte/Nordeste,9,setembro,2024,172,64.5,35.4
Cavalcante,Norte/Nordeste,10,outubro,2024,62,190.5,32.6
Colinas do Sul,Norte/Nordeste,6,junho,2024,6,9.1,29.0
Colinas do Sul,Norte/Nordeste,7,julho,2024,15,6.6,32.3
Colinas do Sul,Norte/Nordeste,8,agosto,2024,30,4.4,31.4
Colinas do Sul,Norte/Nordeste,9,setembro,2024,56,80.4,34.3
Colinas do Sul,Norte/Nordeste,10,outubro,2024,13,207.0,30.7
Cristalina,Norte/Nordeste,6,junho,2024,10,7.5,29.0
Cristalina,Norte/Nordeste,7,julho,2024,21,0.0,28.8
Cristalina,Norte/Nordeste,8,agosto,2024,40,5.8,33.5
Cristalina,Norte/Nordeste,9,setembro,2024,65,40.9,36.1
Cristalina,Norte/Nordeste,10,outubro,2024,22,171.3,30.9
Damianopolis,Norte/Nordeste,6,junho,2024,3,9.3,29.6
Damianopolis,Norte/Nordeste,7,julho,2024,8,4.6,30.2
Damianopolis,Norte/Nordeste,8,agosto,2024,20,21.1,29.9
Damianopolis,Norte/Nordeste,9,setembro,2024,28,51.3,34.9
Damianopolis,Norte/Nordeste,10,outubro,2024,9,48.5,32.4
Divinopolis de Goias,Norte/Nordeste,6,junho,2024,5,1.6,29.5
Divinopolis de Goias,Norte/Nordeste,7,julho,2024,11,3.8,31.7
Divinopolis de Goias,Norte/Nordeste,8,agosto,2024,29,20.3,32.8
Divinopolis de Goias,Norte/Nordeste,9,setembro,2024,35,43.8,34.8
Divinopolis de Goias,Norte/Nordeste,10,outubro,2024,13,81.6,32.1
Formosa,Norte/Nordeste,6,junho,2024,12,12.2,29.8
Formosa,Norte/Nordeste,7,julho,2024,30,5.3,30.8
Formosa,Norte/Nordeste,8,agosto,2024,69,3.0,32.6
Formosa,Norte/Nordeste,9,setembro,2024,87,36.0,34.2
